Aston_Villa 	2 - 1	 Leicester_City
Everton 	2 - 1	 Arsenal
Brentford 	2 - 1	 Watford
Manchester_City 	1 - 0	 Wolverhampton
Arsenal 	3 - 0	 Southampton
Chelsea 	3 - 2	 Leeds_Utd
Liverpool 	1 - 0	 Aston_Villa
Norwich_City 	0 - 1	 Manchester_Utd
Burnley 	0 - 0	 West_Ham_Utd
Leicester_City 	4 - 0	 Newcastle_Utd
Crystal_Palace 	3 - 1	 Everton
Norwich_City 	0 - 2	 Aston_Villa
Manchester_City 	7 - 0	 Leeds_Utd
Brighton 	0 - 1	 Wolverhampton
Crystal_Palace 	2 - 2	 Southampton
Arsenal 	2 - 0	 West_Ham_Utd
Chelsea 	1 - 1	 Everton
Liverpool 	3 - 1	 Newcastle_Utd
Leeds_Utd 	1 - 4	 Arsenal
Newcastle_Utd 	0 - 4	 Manchester_City
Wolverhampton 	0 - 0	 Chelsea
Tottenham 	2 - 2	 Liverpool
Manchester_City 	6 - 3	 Leicester_City
Norwich_City 	0 - 5	 Arsenal
Tottenham 	3 - 0	 Crystal_Palace
West_Ham_Utd 	2 - 3	 Southampton
Aston_Villa 	1 - 3	 Chelsea
Brighton 	2 - 0	 Brentford
Newcastle_Utd 	1 - 1	 Manchester_Utd
Crystal_Palace 	3 - 0	 Norwich_City
Southampton 	1 - 1	 Tottenham
Watford 	1 - 4	 West_Ham_Utd
Leicester_City 	1 - 0	 Liverpool
Chelsea 	1 - 1	 Brighton
Brentford 	0 - 1	 Manchester_City
Manchester_Utd 	3 - 1	 Burnley
Arsenal 	1 - 2	 Manchester_City
Watford 	0 - 1	 Tottenham
Crystal_Palace 	2 - 3	 West_Ham_Utd
Brentford 	2 - 1	 Aston_Villa
Everton 	2 - 3	 Brighton
Leeds_Utd 	3 - 1	 Burnley
Chelsea 	2 - 2	 Liverpool
Manchester_Utd 	0 - 1	 Wolverhampton
Southampton 	4 - 1	 Brentford
West_Ham_Utd 	2 - 0	 Norwich_City
Brighton 	1 - 1	 Crystal_Palace
Manchester_City 	1 - 0	 Chelsea
Newcastle_Utd 	1 - 1	 Watford
Norwich_City 	2 - 1	 Everton
Wolverhampton 	3 - 1	 Southampton
Aston_Villa 	2 - 2	 Manchester_Utd
Liverpool 	3 - 0	 Brentford
West_Ham_Utd 	2 - 3	 Leeds_Utd
Brighton 	1 - 1	 Chelsea
Leicester_City 	2 - 3	 Tottenham
Brentford 	1 - 3	 Manchester_Utd
Watford 	0 - 3	 Norwich_City
Everton 	0 - 1	 Aston_Villa
Brentford 	1 - 2	 Wolverhampton
Leeds_Utd 	0 - 1	 Newcastle_Utd
Manchester_Utd 	1 - 0	 West_Ham_Utd
Southampton 	1 - 1	 Manchester_City
Arsenal 	0 - 0	 Burnley
Crystal_Palace 	1 - 3	 Liverpool
Leicester_City 	1 - 1	 Brighton
Chelsea 	2 - 0	 Tottenham
Burnley 	0 - 0	 Watford
Newcastle_Utd 	3 - 1	 Everton
West_Ham_Utd 	1 - 0	 Watford
Burnley 	1 - 1	 Manchester_Utd
Manchester_City 	2 - 0	 Brentford
Norwich_City 	1 - 1	 Crystal_Palace
Tottenham 	2 - 3	 Southampton
Aston_Villa 	3 - 3	 Leeds_Utd
Liverpool 	2 - 0	 Leicester_City
Wolverhampton 	0 - 1	 Arsenal
Manchester_Utd 	1 - 1	 Southampton
Brentford 	0 - 0	 Crystal_Palace
Everton 	3 - 0	 Leeds_Utd
Watford 	0 - 2	 Brighton
Norwich_City 	0 - 4	 Manchester_City
Burnley 	0 - 1	 Liverpool
Newcastle_Utd 	1 - 0	 Aston_Villa
Tottenham 	0 - 2	 Wolverhampton
Leicester_City 	2 - 2	 West_Ham_Utd
Manchester_Utd 	2 - 0	 Brighton
West_Ham_Utd 	1 - 1	 Newcastle_Utd
Arsenal 	2 - 1	 Brentford
Aston_Villa 	0 - 1	 Watford
Brighton 	0 - 3	 Burnley
Crystal_Palace 	0 - 1	 Chelsea
Liverpool 	3 - 1	 Norwich_City
Southampton 	2 - 0	 Everton
Manchester_City 	2 - 3	 Tottenham
Leeds_Utd 	2 - 4	 Manchester_Utd
Wolverhampton 	2 - 1	 Leicester_City
Burnley 	1 - 0	 Tottenham
Watford 	1 - 4	 Crystal_Palace
Liverpool 	6 - 0	 Leeds_Utd
Arsenal 	2 - 1	 Wolverhampton
Southampton 	2 - 0	 Norwich_City
Leeds_Utd 	0 - 4	 Tottenham
Brentford 	0 - 2	 Newcastle_Utd
Crystal_Palace 	1 - 1	 Burnley
Manchester_Utd 	0 - 0	 Watford
Brighton 	0 - 2	 Aston_Villa
Everton 	0 - 1	 Manchester_City
West_Ham_Utd 	1 - 0	 Wolverhampton
Burnley 	0 - 2	 Leicester_City
Leicester_City 	1 - 0	 Leeds_Utd
Aston_Villa 	4 - 0	 Southampton
Burnley 	0 - 4	 Chelsea
Newcastle_Utd 	2 - 1	 Brighton
Norwich_City 	1 - 3	 Brentford
Wolverhampton 	0 - 2	 Crystal_Palace
Liverpool 	1 - 0	 West_Ham_Utd
Watford 	2 - 3	 Arsenal
Manchester_City 	4 - 1	 Manchester_Utd
Tottenham 	5 - 0	 Everton
Norwich_City 	1 - 3	 Chelsea
Southampton 	1 - 2	 Newcastle_Utd
Wolverhampton 	4 - 0	 Watford
Leeds_Utd 	0 - 3	 Aston_Villa
Brighton 	0 - 2	 Liverpool
Brentford 	2 - 0	 Burnley
Manchester_Utd 	3 - 2	 Tottenham
Chelsea 	1 - 0	 Newcastle_Utd
Everton 	0 - 1	 Wolverhampton
Leeds_Utd 	2 - 1	 Norwich_City
Southampton 	1 - 2	 Watford
West_Ham_Utd 	2 - 1	 Aston_Villa
Arsenal 	2 - 0	 Leicester_City
Crystal_Palace 	0 - 0	 Manchester_City
Brighton 	0 - 2	 Tottenham
Arsenal 	0 - 2	 Liverpool
Everton 	1 - 0	 Newcastle_Utd
Wolverhampton 	2 - 3	 Leeds_Utd
Aston_Villa 	0 - 1	 Arsenal
Leicester_City 	2 - 1	 Brentford
Tottenham 	3 - 1	 West_Ham_Utd
Liverpool 	2 - 0	 Watford
Brighton 	0 - 0	 Norwich_City
Burnley 	0 - 2	 Manchester_City
Chelsea 	1 - 4	 Brentford
Leeds_Utd 	1 - 1	 Southampton
Wolverhampton 	2 - 1	 Aston_Villa
Manchester_Utd 	1 - 1	 Leicester_City
West_Ham_Utd 	2 - 1	 Everton
Tottenham 	5 - 1	 Newcastle_Utd
Crystal_Palace 	3 - 0	 Arsenal
Burnley 	3 - 2	 Everton
Newcastle_Utd 	1 - 0	 Wolverhampton
Everton 	1 - 0	 Manchester_Utd
Arsenal 	1 - 2	 Brighton
Southampton 	0 - 6	 Chelsea
Watford 	0 - 3	 Leeds_Utd
Aston_Villa 	0 - 4	 Tottenham
Brentford 	2 - 0	 West_Ham_Utd
Leicester_City 	2 - 1	 Crystal_Palace
Norwich_City 	2 - 0	 Burnley
Manchester_City 	2 - 2	 Liverpool
Tottenham 	0 - 1	 Brighton
Manchester_Utd 	3 - 2	 Norwich_City
Southampton 	1 - 0	 Arsenal
Watford 	1 - 2	 Brentford
Newcastle_Utd 	2 - 1	 Leicester_City
West_Ham_Utd 	1 - 1	 Burnley
Liverpool 	4 - 0	 Manchester_Utd
Chelsea 	2 - 4	 Arsenal
Everton 	1 - 1	 Leicester_City
Newcastle_Utd 	1 - 0	 Crystal_Palace
Manchester_City 	3 - 0	 Brighton
Burnley 	2 - 0	 Southampton
Arsenal 	3 - 1	 Manchester_Utd
Leicester_City 	0 - 0	 Aston_Villa
Manchester_City 	5 - 1	 Watford
Norwich_City 	0 - 3	 Newcastle_Utd
Brentford 	0 - 0	 Tottenham
Brighton 	2 - 2	 Southampton
Burnley 	1 - 0	 Wolverhampton
Chelsea 	1 - 0	 West_Ham_Utd
Liverpool 	2 - 0	 Everton
Crystal_Palace 	0 - 0	 Leeds_Utd
Manchester_Utd 	1 - 1	 Chelsea
Newcastle_Utd 	0 - 1	 Liverpool
Aston_Villa 	2 - 0	 Norwich_City
Southampton 	1 - 2	 Crystal_Palace
Watford 	1 - 2	 Burnley
Wolverhampton 	0 - 3	 Brighton
Leeds_Utd 	0 - 4	 Manchester_City
Everton 	1 - 0	 Chelsea
Tottenham 	3 - 1	 Leicester_City
West_Ham_Utd 	1 - 2	 Arsenal
Manchester_Utd 	3 - 0	 Brentford
Brentford 	3 - 0	 Southampton
Burnley 	1 - 3	 Aston_Villa
Chelsea 	2 - 2	 Wolverhampton
Crystal_Palace 	1 - 0	 Watford
Brighton 	4 - 0	 Manchester_Utd
Liverpool 	1 - 1	 Tottenham
Arsenal 	2 - 1	 Leeds_Utd
Leicester_City 	1 - 2	 Everton
Norwich_City 	0 - 4	 West_Ham_Utd
Manchester_City 	5 - 0	 Newcastle_Utd
Aston_Villa 	1 - 2	 Liverpool
Leeds_Utd 	0 - 3	 Chelsea
Leicester_City 	3 - 0	 Norwich_City
Watford 	0 - 0	 Everton
Wolverhampton 	1 - 5	 Manchester_City
Tottenham 	3 - 0	 Arsenal
Tottenham 	1 - 0	 Burnley
Aston_Villa 	1 - 1	 Crystal_Palace
Leeds_Utd 	1 - 1	 Brighton
Watford 	1 - 5	 Leicester_City
West_Ham_Utd 	2 - 2	 Manchester_City
Wolverhampton 	1 - 1	 Norwich_City
Everton 	2 - 3	 Brentford
Newcastle_Utd 	2 - 0	 Arsenal
Southampton 	1 - 2	 Liverpool
Everton 	3 - 2	 Crystal_Palace
Aston_Villa 	1 - 1	 Burnley
Chelsea 	1 - 1	 Leicester_City
Arsenal 	5 - 1	 Everton
Brentford 	1 - 2	 Leeds_Utd
Brighton 	3 - 1	 West_Ham_Utd
Burnley 	1 - 2	 Newcastle_Utd
Chelsea 	2 - 1	 Watford
Crystal_Palace 	1 - 0	 Manchester_Utd
Leicester_City 	4 - 1	 Southampton
Liverpool 	3 - 1	 Wolverhampton
Manchester_City 	3 - 2	 Aston_Villa
Norwich_City 	0 - 5	 Tottenham
